transaction_id,customer_id,product_id,order_date,order_year,order_month,product_name,category,subcategory,brand,original_price_inr,discount_percent,final_amount_inr,delivery_charges,delivery_days,customer_city,customer_state,age_group,is_prime_member,payment_method,return_status,customer_rating,is_festival_sale,festival_name
82228972-a983-44c3-8556-a038b95103dd,CUST1456,PROD151,2022-03-04,2022,2022-03,Books Non-Fiction Model 328,Books,Non-Fiction,BrandC,2532.97,9.13,2301.71,50,3,Patna,Bihar,18-24,True,UPI,No Return,4.13,False,
ef79f84d-6041-4d4c-9b62-c181a71ed4e8,CUST3298,PROD507,2015-04-19,2015,2015-04,Books Children Model 325,Books,Children,BrandH,664.85,1.54,654.61,0,4,Mumbai,Maharashtra,35-44,True,Card,No Return,4.09,False,
3092a637-66f8-42f9-90f1-3f7491fb100d,CUST2378,PROD309,2023-07-25,2023,2023-07,Electronics Mobiles Model 467,Electronics,Mobiles,BrandF,2789.74,0.48,2876.35,50,2,Delhi,Delhi,35-44,False,Wallet,No Return,4.3,False,
95cb9a8f-486f-45d9-8b13-05260b4b3513,CUST3574,PROD1366,2024-04-20,2024,2024-04,Grocery Snacks Model 691,Grocery,Snacks,BrandD,1141.93,19.66,917.43,30,2,Delhi,Delhi,35-44,False,Wallet,No Return,4.0,False,
1b86e1f6-5b23-4c78-900b-93bd9ab360e6,CUST2138,PROD1028,2019-04-06,2019,2019-04,Beauty Haircare Model 266,Beauty,Haircare,BrandF,151.29,6.84,140.94,0,9,Jaipur,Rajasthan,35-44,False,UPI,No Return,4.04,False,
914548a0-9a53-48ec-8730-2981bd231144,CUST1669,PROD1046,2017-09-29,2017,2017-09,Fashion Women Clothing Model 801,Fashion,Women Clothing,BrandF,1921.0,3.74,1849.15,40,2,Delhi,Delhi,25-34,True,UPI,No Return,4.25,False,
f673f319-7933-437f-ad39-80aa71d974d2,CUST3323,PROD1894,2025-07-29,2025,2025-07,Books Non-Fiction Model 771,Books,Non-Fiction,BrandH,819.56,26.13,655.41,0,7,Nagpur,Maharashtra,18-24,True,NetBanking,No Return,4.72,False,
86991ee0-bd97-4a07-babd-73fcbc8c38a5,CUST4677,PROD1295,2019-10-21,2019,2019-10,Fashion Women Clothing Model 241,Fashion,Women Clothing,BrandI,2615.02,32.49,1840.4,0,4,Delhi,Delhi,45-54,True,UPI,No Return,5.0,False,
3bfaa24f-c7db-4b83-9a5f-401559530a26,CUST2563,PROD1320,2019-04-26,2019,2019-04,Sports Indoor Games Model 666,Sports,Indoor Games,BrandA,2114.42,3.23,2046.12,100,4,Kolkata,West Bengal,35-44,False,UPI,No Return,3.73,False,
8d3d018a-4518-4a4a-815b-aa9667449de3,CUST1647,PROD1029,2019-11-16,2019,2019-11,Electronics Audio Model 612,Electronics,Audio,BrandC,2671.74,16.9,2270.22,0,6,Kolkata,West Bengal,45-54,True,Card,No Return,4.73,False,
6cb276fe-533c-4266-ad91-85c978591fc8,CUST1661,PROD1204,2023-07-21,2023,2023-07,Sports Fitness Model 713,Sports,Fitness,BrandF,589.17,19.89,471.98,0,2,Kolkata,West Bengal,45-54,False,COD,No Return,3.86,True,Eid
3f26576e-a610-418b-8af1-d015c57b0671,CUST1322,PROD275,2025-08-14,2025,2025-08,Books Fiction Model 878,Books,Fiction,BrandI,756.1,3.93,776.39,50,0,Chennai,Tamil Nadu,35-44,False,UPI,No Return,4.95,False,
e95c76b0-c397-409c-ac85-93c60050dc4a,CUST4804,PROD1204,2017-05-17,2017,2017-05,Books Non-Fiction Model 830,Books,Non-Fiction,BrandE,675.37,0.41,722.6,0,6,Mysuru,Karnataka,25-34,False,UPI,No Return,4.09,False,
06f444bf-a286-40d7-bf7d-4e2cbf312902,CUST3268,PROD571,2021-08-06,2021,2021-08,Beauty Skincare Model 172,Beauty,Skincare,BrandA,775.59,22.61,600.23,0,9,Delhi,Delhi,45-54,True,UPI,No Return,4.61,False,
64897788-894a-4b3a-ba60-242b5b3b81ff,CUST3962,PROD2015,2016-06-25,2016,2016-06,Grocery Personal Care Model 348,Grocery,Personal Care,BrandH,1572.92,2.27,1637.21,50,0,Pune,Maharashtra,18-24,False,Card,No Return,4.69,False,
1ec93cd0-a35c-46bd-82fc-db1e6e529b3f,CUST3758,PROD1438,2015-08-10,2015,2015-08,Sports Fitness Model 162,Sports,Fitness,BrandG,1721.22,3.5,1660.98,60,2,Kolkata,West Bengal,25-34,True,Card,No Return,4.56,False,
e375ff84-4abd-4f2f-869c-e23813ca71fc,CUST4581,PROD1990,2017-10-20,2017,2017-10,Electronics Mobiles Model 151,Electronics,Mobiles,BrandI,3177.33,22.64,2457.98,30,6,Bengaluru,Karnataka,45-54,False,UPI,No Return,4.79,False,
a3834d53-be97-48e2-a4ae-7b64567aaae4,CUST4696,PROD220,2019-07-01,2019,2019-07,Electronics Mobiles Model 499,Electronics,Mobiles,BrandE,74.41,4.35,71.17,50,0,Nagpur,Maharashtra,25-34,False,NetBanking,No Return,3.91,False,
f161ef35-d0fa-4a2a-8112-397914e98d0c,CUST1634,PROD488,2020-06-16,2020,2020-06,Fashion Men Clothing Model 693,Fashion,Men Clothing,BrandI,564.04,3.9,542.04,0,1,Coimbatore,Tamil Nadu,18-24,False,Card,No Return,3.54,False,
f3a6c5bf-fb58-442c-887a-4b24785b80bf,CUST1328,PROD1843,2020-09-11,2020,2020-09,Electronics Mobiles Model 791,Electronics,Mobiles,BrandD,7074.59,32.82,4752.71,0,0,Indore,Madhya Pradesh,25-34,False,Card,No Return,4.18,False,
9a8d1cdf-10bd-4923-9654-d560a441cb65,CUST2295,PROD2014,2020-11-11,2020,2020-11,Fashion Footwear Model 344,Fashion,Footwear,BrandE,904.09,3.27,974.53,0,11,Lucknow,Uttar Pradesh,25-34,False,Wallet,No Return,3.8,False,
04224dcb-b857-4d70-958c-a192185110fe,CUST1409,PROD250,2021-04-25,2021,2021-04,Home & Kitchen Home Decor Model 235,Home & Kitchen,Home Decor,BrandF,293.59,42.44,168.99,60,3,Ahmedabad,Gujarat,25-34,True,COD,No Return,3.72,False,
0765a2e0-59eb-4945-a9c4-4f3db4fa0b9c,CUST3678,PROD1183,2024-01-19,2024,2024-01,Electronics Audio Model 779,Electronics,Audio,BrandB,4505.58,41.0,2658.29,30,2,Chennai,Tamil Nadu,25-34,False,NetBanking,No Return,4.22,False,
2d0fc37a-f2bf-49f1-9f7f-0601879c72d2,CUST3939,PROD802,2017-05-12,2017,2017-05,Electronics Audio Model 617,Electronics,Audio,BrandH,347.04,19.54,279.23,0,6,Delhi,Delhi,18-24,False,UPI,No Return,3.53,False,
77539f11-6e20-4af4-9378-e9225beb9ae8,CUST2072,PROD430,2022-02-22,2022,2022-02,Books Children Model 674,Books,Children,BrandA,56.92,28.22,40.86,0,7,Chennai,Tamil Nadu,25-34,False,Card,No Return,5.0,False,
b18d4c0f-dfb2-426d-b31d-0927a928a2de,CUST2493,PROD1941,2018-06-16,2018,2018-06,Grocery Staples Model 466,Grocery,Staples,BrandD,1316.05,13.29,1141.15,40,6,Kolkata,West Bengal,25-34,False,COD,Returned,3.34,False,
